month,transferred,business_unit_l3,internal_categorization_l2,company,is_stream,original_currency,new_sector_group,id,po_purchasing_group,original_amount,base_currency,category,business_unit_l4,indigenous_flag,cost_type,data_source,spendanalysis_id,subcategory,internal_categorization_l3,normalized_vendor_name,new_sector,diversity_designation,internal_categorization_l1,simple_vendor_name,company_group_system,spend_amount_attribute,vendor_number,social_enterprise_flag,commercial_status_group,date,gdw_subcat,amount,original_vendor_name,business_unit_l2,business_unit,gdw_cat,is_diverse,minority_indicator,commercial_status,channel_type,transaction_description,po_number,vendor_country,company_group,business_unit_l5,is_preferred,is_managed,impactable,include_in_savings,lost_savings_rate,compliance_status,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra_6
1,0,Infra Serv - Rig & Well Services,TBC,7045,NULL,AUD,NULL,4314158,NULL,3732.110107,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,SUBCONTRACTOR - OPERATIONS & MAINTENANCE,TBC,PIRTEK PTY LTD,Infrastructure Services,NULL,TBC,PIRTEK PTY LTD,SAP & Others,100k to 350k,83132676950,NULL,NULL,31-01-2024,N/A,2449.345909,PIRTEK (ROXBY DOWNS) PTY LTD,Minerals - BHP Olympic Dam,NULL,N/A,NULL,NULL,NULL,NULL,"TEST,HYD,HOSE,1-1/4\-2\"",TEST-HYD-20/32""""",4807553949,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL,
2,0,Infra Serv - Rig & Well Services,TBC,7045,NULL,AUD,NULL,4609823,NULL,3752,AUD,IT PRODUCTS & SERVICES,NULL,NULL,NULL,AP Data,10020,IT MANAGED SERVICES,TBC,ALIVA PTY LTD,Infrastructure Services,NULL,TBC,ALIVA PTY LTD,SAP & Others,100k to 350k,41100729977,NULL,NULL,29-02-2024,IT INFRASTRUCTURE SERVICES,2438.991095,ALIVA PTY LTD,Minerals - BHP Olympic Dam,NULL,INFORMATION TECHNOLOGY,NULL,NULL,NULL,NULL,"TOUGHBOOK,55,PANASONIC,14\",MK2,"I5-1145G7"",4807526564,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,
1,0,Infra Serv - Rig & Well Services,CIVIL MATERIALS,7045,NULL,AUD,NULL,4502714,NULL,51080,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,BUILDING / INFRASTRUCTURE MATERIALS,BORING & DRILLING SUPPLIES,TRANSCO MFG AUSTRALIA PTY LTD,Infrastructure Services,NULL,MATERIALS,TRANSCO MFG AUSTRALIA PTY LTD,SAP & Others,100k to 350k,23008215245,NULL,NULL,31-01-2024,N/A,33523.28549,TRANSCO MFG AUSTRALIA PTY LTD,Minerals - BHP Olympic Dam,NULL,N/A,NULL,NULL,NULL,NULL,7-3/4\,STRING,STABILIZER,"W/4-1/2\"",REGPIN""""",4807604408,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,
1,0,Infra Serv - Rig & Well Services,CIVIL WORKS,7045,NULL,AUD,NULL,4331208,NULL,54.59999847,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,SUBCONTRACTOR - ENGINEERING AND CAPITAL WORKS,DRILLING & BORING,CONDAMINE DRILLING P L,Infrastructure Services,NULL,CONSTRUCTION,CONDAMINE DRILLING P L,SAP & Others,Under 100k,74009805510,NULL,NULL,31-01-2024,N/A,35.83342576,CONDAMINE DRILLING P/L,Energy Site Support,NULL,N/A,NULL,NULL,NULL,NULL,"SUPPLY,MACHINE,8\STYLE",60,VICTAULIC,"CAP"",4807413212,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL",,,,,,,,,,,,,
3,0,"Infra Serv - Resources ,Industrial Services & Environment",INDUSTRIAL,7020,NULL,AUD,NULL,4415183,NULL,424,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,BUILDING / INFRASTRUCTURE MATERIALS,WELDING CONSUMABLES,EAST COAST WELDING SUPPLIES PTY LTD,Infrastructure Services,NULL,MATERIALS,EAST COAST WELDING SUPPLIES PTY LTD,SAP & Others,Under 100k,72147574810,NULL,NULL,31-03-2024,N/A,277.0426999,EAST COAST WELDING SUPPLIES PTY LTD,Botany Indust Park,NULL,N/A,NULL,NULL,NULL,NULL,REPAIR 4 X 5\ GRINDERS,"REPLACE DAMAGED L"",4700904402,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
1,0,Infra Serv - Rig & Well Services,SAFETY SUPPLIES,7045,NULL,AUD,NULL,4500607,NULL,292.3999939,AUD,FACILITIES MANAGEMENT & MAINTENANCE,NULL,NULL,NULL,AP Data,10020,GENERAL HARDWARE,SAFETY CONSUMABLES,J BLACKWOOD AND SON LTD,Infrastructure Services,NULL,MATERIALS,J BLACKWOOD AND SONS LTD,SAP & Others,Over 350k,43000010300,NULL,NULL,31-01-2024,GENERAL INDUSTRIAL SUPPLIES,191.8991519,J BLACKWOOD & SONS LTD,Minerals - BHP Olympic Dam,NULL,MRO,NULL,NULL,NULL,NULL,"GASKET,INSERT,1/8\",F/FACE,"10\"",01052507""""",4807565164,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,
1,0,Infra Serv - Rig & Well Services,TBC,7045,NULL,AUD,NULL,4417981,NULL,-1862.099976,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,SUBCONTRACTOR - OPERATIONS & MAINTENANCE,TBC,PIRTEK PTY LTD,Infrastructure Services,NULL,TBC,PIRTEK PTY LTD,SAP & Others,100k to 350k,83132676950,NULL,NULL,31-01-2024,N/A,-1222.077328,PIRTEK (ROXBY DOWNS) PTY LTD,Minerals - BHP Olympic Dam,NULL,N/A,NULL,NULL,NULL,NULL,"TEST,HYD,HOSE,1-1/4\-2\"",TEST-HYD-20/32""""",4807553967,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL,
2,0,Transport - Infrastructure Solutions,ENGINEERING SERVICES,7025,NULL,AUD,NULL,4340242,NULL,358,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,SUBCONTRACTOR - NETWORK DESIGN AND BUILD,ENGINEERING CONSULTANTS,OPTICAL SOLUTIONS AUSTRALIA,Transport,NULL,CONSTRUCTION,OPTICAL SOLUTIONS PTY LT,SAP & Others,Over 350k,85111683357,NULL,NULL,29-02-2024,N/A,232.7182335,OPTICAL SOLUTIONS (VICTORIA) PTY LT,Victrack O&M,NULL,N/A,NULL,NULL,NULL,NULL,\FOSC400A4-24-1-NNV CLOSURE WITH DOME," B"",4700884082,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
3,0,Infra Serv - Rig & Well Services,EQUIPMENT HIRE,7045,NULL,AUD,NULL,4314657,NULL,5922.899902,AUD,EQUIPMENT,NULL,NULL,NULL,AP Data,10020,EQUIPMENT RENTAL,GENERAL PLANT HIRE (DRY),AIRDRILL PTY LTD,Infrastructure Services,NULL,ASSET MANAGEMENT,AIRDRILL PTY LTD,SAP & Others,Under 100k,68109184447,NULL,NULL,31-03-2024,EQUIPMENT RENTAL,3870.038224,AIRDRILL PTY LTD,Minerals - BHP Olympic Dam,NULL,MRO,NULL,NULL,NULL,NULL,"WEAR,INSERT,4.5\","AD27-011"",4807599209,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL",,,,,,,,,,,,,,,
2,0,Infra Serv - Rig & Well Services,TBC,7045,NULL,AUD,NULL,4420809,NULL,3662.379883,AUD,DIRECT,NULL,NULL,NULL,AP Data,10020,SUBCONTRACTOR - OPERATIONS & MAINTENANCE,TBC,PIRTEK PTY LTD,Infrastructure Services,NULL,TBC,PIRTEK PTY LTD,SAP & Others,100k to 350k,83132676950,NULL,NULL,29-02-2024,N/A,2380.73353,PIRTEK (ROXBY DOWNS) PTY LTD,Minerals - BHP Olympic Dam,NULL,N/A,NULL,NULL,NULL,NULL,"TEST,HYD,HOSE,1-1/4\-2\"",TEST-HYD-20/32""""",4807553967,NULL,NULL,NULL,0,0,1,1,15,unmanaged,NULL,NULL,NULL,NULL,NULL,
